x,y,date,driver_number,led_num
305,3264,2023-08-27T12:58:58.054Z,10,48
430,3586,2023-08-27T12:58:58.054Z,11,49
313,3283,2023-08-27T12:58:58.054Z,14,48
-52,2338,2023-08-27T12:58:58.054Z,16,46
305,3264,2023-08-27T12:58:58.054Z,18,48
1032,4857,2023-08-27T12:58:58.054Z,20,52
-118,2167,2023-08-27T12:58:58.054Z,22,46
416,3549,2023-08-27T12:58:58.054Z,23,49
-4,2462,2023-08-27T12:58:58.054Z,24,46
-105,2201,2023-08-27T12:58:58.054Z,27,46
16,2518,2023-08-27T12:58:58.054Z,31,46
-120,2164,2023-08-27T12:58:58.054Z,40,46
-55,2332,2023-08-27T12:58:58.054Z,44,46
408,3530,2023-08-27T12:58:58.054Z,55,49
416,3548,2023-08-27T12:58:58.054Z,63,49
-40,2369,2023-08-27T12:58:58.054Z,77,46
399,3507,2023-08-27T12:58:58.054Z,81,49
407,3525,2023-08-27T12:58:58.114Z,1,49
306,3264,2023-08-27T12:58:58.114Z,2,48
306,3264,2023-08-27T12:58:58.114Z,4,48
305,3264,2023-08-27T12:58:58.114Z,10,48
430,3586,2023-08-27T12:58:58.114Z,11,49
313,3283,2023-08-27T12:58:58.114Z,14,48
-52,2338,2023-08-27T12:58:58.114Z,16,46
305,3264,2023-08-27T12:58:58.114Z,18,48
1032,4857,2023-08-27T12:58:58.114Z,20,52
-118,2167,2023-08-27T12:58:58.114Z,22,46
416,3549,2023-08-27T12:58:58.114Z,23,49
-4,2462,2023-08-27T12:58:58.114Z,24,46
-105,2201,2023-08-27T12:58:58.114Z,27,46
16,2518,2023-08-27T12:58:58.114Z,31,46
-120,2164,2023-08-27T12:58:58.114Z,40,46
-55,2332,2023-08-27T12:58:58.114Z,44,46
408,3530,2023-08-27T12:58:58.114Z,55,49
416,3548,2023-08-27T12:58:58.114Z,63,49
-40,2369,2023-08-27T12:58:58.114Z,77,46
399,3507,2023-08-27T12:58:58.114Z,81,49
407,3525,2023-08-27T12:58:58.474Z,1,49
306,3264,2023-08-27T12:58:58.474Z,2,48
306,3264,2023-08-27T12:58:58.474Z,4,48
305,3264,2023-08-27T12:58:58.474Z,10,48
430,3586,2023-08-27T12:58:58.474Z,11,49
313,3283,2023-08-27T12:58:58.474Z,14,48
-52,2338,2023-08-27T12:58:58.474Z,16,46
305,3264,2023-08-27T12:58:58.474Z,18,48
1032,4857,2023-08-27T12:58:58.474Z,20,52
-118,2167,2023-08-27T12:58:58.474Z,22,46
416,3549,2023-08-27T12:58:58.474Z,23,49
-4,2462,2023-08-27T12:58:58.474Z,24,46
-105,2201,2023-08-27T12:58:58.474Z,27,46
16,2518,2023-08-27T12:58:58.474Z,31,46
-120,2164,2023-08-27T12:58:58.474Z,40,46
-55,2332,2023-08-27T12:58:58.474Z,44,46
408,3530,2023-08-27T12:58:58.474Z,55,49
416,3548,2023-08-27T12:58:58.474Z,63,49
-40,2369,2023-08-27T12:58:58.474Z,77,46
399,3507,2023-08-27T12:58:58.474Z,81,49
407,3525,2023-08-27T12:58:58.794Z,1,49
306,3264,2023-08-27T12:58:58.794Z,2,48
306,3264,2023-08-27T12:58:58.794Z,4,48
305,3264,2023-08-27T12:58:58.794Z,10,48
430,3586,2023-08-27T12:58:58.794Z,11,49
313,3283,2023-08-27T12:58:58.794Z,14,48
-52,2338,2023-08-27T12:58:58.794Z,16,46
305,3264,2023-08-27T12:58:58.794Z,18,48
1032,4857,2023-08-27T12:58:58.794Z,20,52
-118,2167,2023-08-27T12:58:58.794Z,22,46
